period,RBRTE,RWTC,T10Y2Y,VIXCLS,DTWEXBGS,WCESTUS1,RNGWHHD,days_since_opec,RBRTE_log_return,RWTC_log_return,RNGWHHD_log_return,WCESTUS1_w_change,RBRTE1_w_lag,RBRTE4_w_lag,RBRTE12_w_lag,RWTC1_w_lag,RWTC4_w_lag,RWTC12_w_lag,RBRTE_4_rol_vol,RBRTE_12_rol_vol,RWTC_4_rol_vol,RWTC_12_rol_vol,RNGWHHD_4_rol_vol,RNGWHHD_12_rol_vol,RBRTE_RWTC_diff,RBRTE_log_return_rol_z_score,RWTC_log_return_rol_z_score,RNGWHHD_log_return_rol_z_score
2007-03-16,60.87,57.94,-0.03,16.79,97.0407,311926,6.86,1.0,0.008579494962292392,-0.04900382709233186,-0.0649028862354263,,,,,,,,,,,,,,2.9299999999999997,,,
2007-03-23,61.09,58.26,0.02,12.95,96.5662,311080,6.91,8.0,0.0036077441558426044,0.005507759190084247,0.007262196041784696,-846.0,60.87,,,57.94,,,0.15556349186104215,0.15556349186104215,0.22627416997969793,0.22627416997969793,0.03535533905932756,0.03535533905932756,2.8300000000000054,-0.7071067811865475,0.7071067811865476,0.7071067811865475
2007-03-30,66.1,64.18,0.07,14.64,96.3183,315387,7.32,15.0,0.07882056019596484,0.09677588415042236,0.0576406901936417,4307.0,61.09,,,58.26,,,2.9580793318187566,2.9580793318187566,3.513934167472889,3.513934167472889,0.2523885892824794,0.2523885892824794,1.9199999999999875,1.1526822236985899,1.0727391659973515,0.9358208575230481
2007-04-06,68.55,64.82,0.01,13.23,96.2526,316219,7.55,22.0,0.03639465915068293,0.009922562031690374,0.030937235287713125,832.0,66.1,,,64.18,,,3.798441566397105,3.798441566397105,3.7065707421640677,3.7065707421640677,0.3317629675938329,0.3317629675938329,3.730000000000004,0.1317985945126048,-0.09752973832565852,0.44098408186753846
2007-04-13,68.2,62.58,0.0,12.2,95.711,315225,7.83,29.0,-0.005118841158906867,-0.03516845947266511,0.036414946741778496,-994.0,68.55,60.87,,64.82,57.94,,3.4380081442602703,3.7546730882994286,2.954228607719229,3.260625706823771,0.38896229465934967,0.4151264867483161,5.6200000000000045,-0.8665568210347224,-0.7159233299194434,0.4846973923822468
2007-04-20,66.21,63.06,0.04,12.07,95.1692,317299,7.51,36.0,-0.029613055912661803,0.007640915876178794,-0.041727044226668446,2074.0,68.2,61.09,,62.58,58.26,,1.2904392017190511,3.3967101730939557,1.023458189994445,2.9803266040262573,0.2104558544366654,0.3816280912092293,3.1499999999999915,-1.1960809114552224,0.0332709479255196,-0.9590208304801581
2007-04-27,67.39,65.26,0.04,12.45,95.0103,318468,7.48,43.0,0.01766513002137103,0.03429263704825982,-0.0040026737896574445,1169.0,66.21,66.1,,63.06,64.18,,1.0389217166530436,3.2122822327524583,1.308994525071329,3.017548674006771,0.16090887690449804,0.35296027025849847,2.1299999999999955,0.05531741864222163,0.5090817848658742,-0.16155480838795838
2007-05-04,66.04,63.82,-0.03,12.91,94.9118,323940,7.68,50.0,-0.02023601990619833,-0.02231267031507718,0.02638675517319481,5472.0,67.39,68.55,,65.26,64.82,,1.0216653072312651,2.98041194420215,1.1705269468634123,2.8449253065766102,0.16258331197676323,0.34681201165555287,2.220000000000006,-0.9184127448643433,-0.6194056006399208,0.49162114034999455
2007-05-11,63.91,61.9,-0.04,12.95,95.0035,325001,7.56,57.0,-0.03278477538973701,-0.030546441159547032,-0.015748356968139168,1061.0,66.04,68.2,,63.82,62.58,,1.448594146060217,2.8414125008523463,1.408687332235242,2.6684410763173685,0.08808140174482643,0.32918248907120046,2.009999999999998,-1.109727113675113,-0.7309248495681532,-0.489940502813149
2007-05-18,67.55,63.61,-0.01,12.76,94.6573,326970,7.74,64.0,0.055392220744017444,0.027250511000162514,0.02353049741019425,1969.0,63.91,66.21,,61.9,63.06,,1.683872026016209,2.7659254027058133,1.376599070172593,2.5436109503355033,0.11704699910719704,0.3273190764037099,3.9399999999999977,1.2022504808083319,0.5353767816031496,0.47573629550735946
